event_index,time_sec,frame_index,x_mm,y_mm,confidence,note
0,0.405000,12,135.000,78.333,0.630,
1,0.680000,20,3.333,31.667,0.784,
2,1.170000,35,83.667,68.333,0.696,
3,1.480000,44,138.333,78.333,0.705,
4,1.850000,56,134.333,78.333,0.649,
5,2.275000,68,134.333,78.333,0.649,
6,2.935000,88,138.333,78.333,0.702,
7,3.490000,105,6.667,74.333,0.777,
8,4.080000,122,135.000,78.333,0.646,
9,4.560000,137,134.333,78.333,0.641,
10,4.895000,147,138.333,78.333,0.694,
11,5.155000,155,6.333,74.333,0.790,
12,5.535000,166,138.333,78.333,0.694,
13,5.795000,174,138.333,78.333,0.691,
14,6.120000,184,134.333,78.333,0.649,
15,6.600000,198,135.000,78.333,0.654,
16,7.075000,212,3.000,72.333,0.752,
17,7.475000,224,134.333,78.333,0.649,
18,8.770000,263,1.667,72.333,0.760,
19,9.310000,279,134.333,78.333,0.647,
20,9.775000,293,134.667,78.333,0.646,
21,11.085000,333,138.333,78.333,0.669,
22,11.980000,359,11.000,80.333,0.708,
23,12.985000,390,46.333,72.333,0.755,
24,14.105000,423,135.000,78.333,0.577,
25,14.530000,436,137.667,78.333,0.625,
26,14.875000,446,134.333,78.333,0.658,
27,15.370000,461,137.667,78.333,0.658,
28,15.625000,469,11.000,80.333,0.702,
29,16.130000,484,73.333,41.667,0.804,
30,18.700000,561,137.333,78.333,0.664,
31,19.640000,589,138.333,78.333,0.655,
32,20.905000,627,108.333,31.667,0.695,
33,22.095000,663,81.333,41.667,0.876,
34,22.480000,674,66.333,20.333,0.860,
35,22.895000,687,38.333,45.667,0.847,
36,24.815000,744,128.333,1.667,0.669,
37,25.190000,756,46.333,79.667,0.769,
38,25.735000,772,6.667,74.333,0.810,
39,26.190000,786,1.667,70.333,0.694,
