target_y,target_z,calc_vx,calc_vy,calc_vz,error_vx,error_vy,error_vz
40.15775333333333,-48.60281333333334,28.732123068263505,41.10373587427392,-474.95008424821435,18.732123068263505,41.10373587427392,-475.0500842482144
24.973353333333336,-46.00201333333334,23.026118137524605,29.909844262876675,-355.23033103827106,13.026118137524605,29.909844262876675,-355.3303310382711
19.31765333333333,-46.00201333333334,10.981869377746179,23.44093849071065,-132.36149275243474,0.9818693777461789,23.44093849071065,-132.46149275243474
11.264353333333334,-44.429413333333336,15.073595788997036,12.279555377676246,-205.05924616809853,5.073595788997036,12.279555377676246,-205.15924616809852
-3.735646666666666,-33.421413333333334,7.88952391555204,-2.5513183771346615,-77.83841160695971,-2.11047608444796,-2.5513183771346615,-77.9384116069597
-35.026646666666664,-25.25601333333334,10.50667959939658,-28.367553030852125,204.41335701146386,0.5066795993965805,-28.367553030852125,204.31335701146386
-14.247946666666666,-12.735913333333336,2.945156140627108,-17.849333776715113,4.551455484334017,-7.054843859372892,-17.849333776715113,4.4514554843340175
-57.895446666666665,-1.2439133333333363,7.728181228779473,-86.24898766574088,63.86863478428472,-2.271818771220527,-86.24898766574088,63.76863478428472
46.67415333333334,-5.901213333333336,29.687923334785147,544.6452254171393,134.35687803440305,19.687923334785147,544.6452254171393,134.25687803440306
25.157753333333336,-4.328613333333337,6.825721809242809,72.87534851101977,27.9353683974956,-3.1742781907571906,72.87534851101977,27.8353683974956
14.891353333333337,-8.985913333333336,9.806797950684832,5.782445958801105,191.89295390322752,-0.19320204931516827,5.782445958801105,191.79295390322753
9.973353333333334,-8.985913333333336,9.83968485245272,10.493432169818966,192.04911653457305,-0.16031514754727993,10.493432169818966,191.94911653457305
7.268453333333334,-3.4818133333333368,3.685106452805873,9.763950633845123,2.270407896807385,-6.314893547194127,9.763950633845123,2.1704078968073848
5.915953333333334,0.6914866666666635,3.4393717095049237,8.655878013218043,7.313476476242688,-6.560628290495076,8.655878013218043,7.213476476242688
-14.247946666666666,-0.3972133333333367,28.806321047859498,-155.9354959892118,667.0920817688043,18.806321047859498,-155.9354959892118,666.9920817688043
-6.194646666666666,0.5100866666666635,6.552252461016494,-17.772606448940024,109.06465070021204,-3.4477475389835064,-17.772606448940024,108.96465070021205
-2.8135466666666664,8.433486666666663,3.9361062242570632,-4.719762924752935,23.386516387089024,-6.063893775742937,-4.719762924752935,23.286516387089023
17.350453333333334,17.022186666666663,10.298719629881944,75.51577679257062,104.58089618189524,0.2987196298819441,75.51577679257062,104.48089618189525
26.756153333333334,18.352786666666663,17.985232222168655,199.65433786398188,195.89548983708283,7.985232222168655,199.65433786398188,195.79548983708284
38.620853333333336,34.62298666666666,47.033952399002146,633.0240633167205,698.4326191578916,37.033952399002146,633.0240633167205,698.3326191578916
17.780753333333333,29.11898666666666,22.24604396721655,161.62685569526622,324.80218952435945,12.24604396721655,161.62685569526622,324.7021895243594
5.239753333333334,25.18748666666666,12.573238108695474,27.727173286414406,165.5178809085436,2.573238108695474,27.727173286414406,165.4178809085436
-0.1086466666666661,45.44958666666667,40.384759308095944,-1.6115289815275526,770.12937235357,30.384759308095944,-1.6115289815275526,770.02937235357
-0.1086466666666661,60.812486666666665,60.158574196371084,-2.0007051352548797,1259.6280928437639,50.158574196371084,-2.0007051352548797,1259.528092843764
-23.653646666666667,30.207686666666664,28.19192376712435,-264.97093355885636,416.4869341827107,18.19192376712435,-264.97093355885636,416.38693418271066
-50.702846666666666,9.098786666666664,15.495137072127093,-207.24679867841763,102.22904040254969,5.495137072127093,-207.24679867841763,102.12904040254969
-53.16184666666667,15.449586666666663,47.6814769076925,-876.7364417497092,441.79342031676947,37.6814769076925,-876.7364417497092,441.69342031676945
18.026653333333336,28.876986666666664,22.10059674860279,162.88597577487317,320.86509733630237,12.10059674860279,162.88597577487317,320.76509733630235
-25.682346666666668,30.207686666666664,29.993210573153267,-303.1167343166659,440.3370301481201,19.993210573153267,-303.1167343166659,440.2370301481201
